N	numinstance	numrun	fitness	budget
100	6	45	5163	10501
100	6	46	5222	20501
100	6	47	5204	16401
100	6	48	5189	16001
100	6	49	5243	9601
100	6	50	5116	14001
100	6	51	5193	13801
100	6	52	5214	13701
100	6	53	5077	17801
100	6	54	4946	16401
100	6	55	5094	16701
100	6	56	5020	14701
100	6	57	5125	15101
100	6	58	5234	17701
100	6	59	4834	12601
100	6	60	5092	15101
100	6	61	4987	14601
100	6	62	5178	15101
100	6	63	5234	17301
100	6	64	5195	15301
100	6	65	5064	13701
100	6	66	5223	16301
100	6	67	5149	15701
100	7	0	4860	9101
100	7	1	4836	13101
100	7	2	4872	14601
100	7	3	4828	13201
100	7	4	4883	8101
100	7	5	4896	11301
100	7	6	4743	11401
100	7	7	4999	13701
100	7	8	4766	13501
100	7	9	4828	11901
100	7	10	4842	12601
100	7	11	4851	14101
100	7	12	4899	13001
100	7	13	4864	9701
100	7	14	4974	8301
100	7	15	4843	14501
100	7	16	4853	13701
100	7	17	4968	15101
100	7	18	4859	9701
100	7	19	4935	16301
100	7	20	4834	15001
100	7	21	4851	15801
100	7	22	4820	16101
100	7	23	4858	14601
100	7	24	4968	16101
100	7	25	4838	18301
100	7	26	4999	15801
100	7	27	4765	15201
100	7	28	4730	12701
100	7	29	4811	11501
100	7	30	4847	14901
100	7	31	4851	11801
100	7	32	4872	12301
100	7	33	4981	13901
100	7	34	4872	12701
100	7	35	4858	16001
100	7	36	4954	14801
100	7	37	4938	15601
100	7	38	4844	10901
100	7	39	4982	13901
100	7	40	4758	12301
100	7	41	4870	14001
100	7	42	4964	13401
100	7	43	4854	13201
100	7	44	4914	14501
100	7	45	4891	12601
100	7	46	4866	13301
100	7	47	4847	11801
100	7	48	4821	12501
100	7	49	4854	13501
100	7	50	4935	14901
100	7	51	4738	14101
100	7	52	4805	12401
100	7	53	4900	9501
100	7	54	4890	13901
100	7	55	4888	10001
100	7	56	4839	13001
100	7	57	4924	12401
100	7	58	4915	12301
100	7	59	4935	12601
100	7	60	4853	18501
100	7	61	4946	12501
100	7	62	4924	15601
100	7	63	4973	16501
100	7	64	4790	14901
100	7	65	4901	10201
100	7	66	4696	13401
100	7	67	4964	13601
100	7	68	4979	14201
100	7	69	4949	16901
100	7	70	4718	16201
100	7	71	4999	12901
100	7	72	4833	14801
100	7	73	4918	15201
100	8	0	5640	15401
100	8	1	5650	11101
100	8	2	5228	12101
100	8	3	5690	9501
100	8	4	5640	13401
100	8	5	5617	13201
100	8	6	5634	9301
100	8	7	5300	12301
100	8	8	5630	12401
100	8	9	5690	15801
100	8	10	5208	12901
100	8	11	5630	10001
100	8	12	5523	12101
100	8	13	5602	9601
100	8	14	5447	15601
100	8	15	5690	13801
100	8	16	5570	11601
100	8	17	5510	15301
100	8	18	5582	12301
100	8	19	5552	13601
100	8	20	5422	10701
100	8	21	5538	15501
100	8	22	5536	13601
100	8	23	5617	16201
100	8	24	5552	14201
100	8	25	5656	13201
100	8	26	5536	14301
100	8	27	5640	13201
100	8	28	5634	17101
100	8	29	5650	11201
100	8	30	5598	16901
100	8	31	5538	17001
100	8	32	5671	14201
100	8	33	5510	16701
100	8	34	5606	14501
100	8	35	5598	14401
100	8	36	5409	15001
100	8	37	5479	12901
100	8	38	5523	8401
100	8	39	5536	10101
100	8	40	5630	12501
100	8	41	5598	15201
100	8	42	5617	13101
100	8	43	5671	16001
100	8	44	5539	15401
100	8	45	5598	13701
100	8	46	5510	13701
100	8	47	5526	14301
100	8	48	5570	15701
100	8	49	5617	11701
100	8	50	5640	13101
100	8	51	5562	14501
100	8	52	5453	11501
100	8	53	5536	11401
100	8	54	5650	11201
100	8	55	5602	11601
100	8	56	5461	11601
100	8	57	5640	13001
100	8	58	5640	17501
100	8	59	5575	12401
100	8	60	5586	15301
100	8	61	5536	8801
100	8	62	5532	16101
100	8	63	5640	13901
100	8	64	5587	15701
100	8	65	5493	16701
100	8	66	5289	10801
100	8	67	5539	13001
100	8	68	5640	19001
100	8	69	5570	15901
100	8	70	5312	19001
100	8	71	5640	13101
100	8	72	5634	9601
100	8	73	5640	12001
100	9	0	5607	10601
100	9	1	5559	13101
100	9	2	5559	16701
100	9	3	5661	12401
100	9	4	5634	14701
100	9	5	5549	13101
100	9	6	5670	10701
100	9	7	5634	12101
100	9	8	5557	10001
100	9	9	5670	13701
100	9	10	5670	10601
100	9	11	5573	12401
100	9	12	5499	17001
100	9	13	5549	17501
100	9	14	5634	15601
100	9	15	5508	13301
100	9	16	5129	9601
100	9	17	5499	14101
100	9	18	5559	15001
100	9	19	5418	18701
100	9	20	5499	17001
100	9	21	5607	11901
100	9	22	4975	9801
100	9	23	5661	15201
100	9	24	5634	11701
100	9	25	5508	13701
100	9	26	5621	8601
100	9	27	5670	12201
100	9	28	5607	13201
100	9	29	5634	18601
100	9	30	5607	13801
100	9	31	5661	12601
100	9	32	5634	11501
100	9	33	5559	14801
100	9	34	5559	12401
100	9	35	5577	10701
100	9	36	5607	10101
100	9	37	5385	11401
100	9	38	5621	12401
100	9	39	5549	12901
100	9	40	5577	11701
100	9	41	5621	17301
100	9	42	5670	11701
100	9	43	5559	15601
100	9	44	5577	12201
100	9	45	5634	11901
100	9	46	5634	19001
100	9	47	5670	10601
100	9	48	5634	9001
100	9	49	5670	11101
100	9	50	5634	13101
100	9	51	5559	10801
100	9	52	5670	17601
100	9	53	5621	13601
100	9	54	5661	13501
100	9	55	5573	9101
100	9	56	5661	12401
100	9	57	5499	12801
100	9	58	5607	15801
100	9	59	5661	16101
100	9	60	5607	19401
100	9	61	5415	12501
100	9	62	5577	12501
100	9	63	5661	16501
100	9	64	5492	10501
100	9	65	5634	13501
100	9	66	5605	12201
100	9	67	5670	11501
100	9	68	5670	12701
100	9	69	5605	12901
100	9	70	5150	15401
100	9	71	5661	14901
100	9	72	5670	12601
100	9	73	5508	14601
100	9	74	5621	6601
250	0	0	22357	133751
250	0	1	22620	166251
250	0	2	22648	190501
250	0	3	22700	179001
250	0	4	22845	199001
250	1	0	21946	181501
250	1	1	22260	163001
250	1	2	22149	147751
250	1	3	22572	165751
250	1	4	22453	176001
250	1	5	22181	164001
