N	numinstance	numrun	fitness	budget
100	2	90	5504	6385
100	2	91	5533	7291
100	2	92	5533	6919
100	2	93	5489	6665
100	2	94	5498	5787
100	2	95	5584	5985
100	2	96	5584	6339
100	2	97	5533	6411
100	2	98	5584	6540
100	2	99	5584	6605
100	2	100	5542	6816
100	2	101	5562	7151
100	2	102	5584	5819
100	2	103	5587	6032
100	2	104	5494	6699
100	2	105	5539	6479
100	2	106	5352	6072
100	2	107	5465	5866
100	2	108	5589	6937
100	2	109	5542	5711
100	2	110	5551	7757
100	2	111	5538	5373
100	2	112	5565	7630
100	2	113	5539	7826
100	2	114	5532	7061
100	2	115	5539	7529
100	2	116	5569	6621
100	2	117	5505	7029
100	2	118	5578	6954
100	2	119	5542	5932
100	2	120	5512	6542
100	2	121	5584	6714
100	2	122	5575	5748
100	2	123	5560	7608
100	2	124	5578	6547
100	2	125	5584	8386
100	2	126	5584	6516
100	2	127	5560	6625
100	2	128	5575	6987
100	2	129	5584	8962
100	2	130	5584	6563
100	2	131	5539	6266
100	2	132	5502	5306
100	2	133	5502	6044
100	2	134	5587	6573
100	2	135	5523	6531
100	2	136	5571	6712
100	2	137	5542	6462
100	2	138	5456	6128
100	2	139	5533	5785
100	2	140	5589	6866
100	2	141	5539	7988
100	2	142	5589	7258
100	2	143	5533	5440
100	2	144	5575	4970
100	2	145	5532	5706
100	2	146	5584	6538
100	2	147	5533	6222
100	2	148	5584	7867
100	2	149	5565	6613
100	2	150	5584	6890
100	3	0	6422	5421
100	3	1	6478	6939
100	3	2	6449	7556
100	3	3	6451	5991
100	3	4	6451	6596
100	3	5	6478	7529
100	3	6	6422	5871
100	3	7	6478	6996
100	3	8	6449	6994
100	3	9	6478	6443
100	3	10	6451	6748
100	3	11	6055	6683
100	3	12	6366	7003
100	3	13	6449	7585
100	3	14	6449	5418
100	3	15	6371	6825
100	3	16	6422	4903
100	3	17	6418	6187
100	3	18	6449	8070
100	3	19	6371	6739
100	3	20	6451	7152
100	3	21	6478	7428
100	3	22	6371	6651
100	3	23	6449	5309
100	3	24	6449	6850
100	3	25	6418	6974
100	3	26	6422	7395
100	3	27	6371	8537
100	3	28	6478	6056
100	3	29	6366	5525
100	3	30	6449	6270
100	3	31	6449	6284
100	3	32	6449	6333
100	3	33	6451	8383
100	3	34	6422	6183
100	3	35	6449	7915
100	3	36	6478	7503
100	3	37	6422	7259
100	3	38	6478	8191
100	3	39	6478	7121
100	3	40	6478	5892
100	3	41	6478	7240
100	3	42	6451	6770
100	3	43	6478	6891
100	3	44	6451	7325
100	3	45	6478	8389
100	3	46	6449	6854
100	3	47	6449	5720
100	3	48	6449	7577
100	3	49	6449	6270
100	3	50	6449	7452
100	3	51	6478	5560
100	3	52	6451	6862
100	3	53	6451	6914
100	3	54	6449	8674
100	3	55	6478	7382
100	3	56	6449	7387
100	3	57	6449	7082
100	3	58	6366	6033
100	3	59	6478	7202
100	3	60	6449	6093
100	3	61	6449	6985
100	3	62	6449	7387
100	3	63	6422	7423
100	3	64	6449	6432
100	3	65	6422	6402
100	3	66	6478	6549
100	3	67	6478	7012
100	3	68	6449	5796
100	3	69	6449	8487
100	3	70	6338	6324
100	3	71	6478	6464
100	3	72	6451	6628
100	3	73	6449	6153
100	3	74	6451	6697
100	3	75	6478	6992
100	3	76	6449	4817
100	3	77	6070	4749
100	3	78	6478	6082
100	3	79	6478	5534
100	3	80	6449	7216
100	3	81	6478	6142
100	3	82	6422	7064
100	3	83	6449	5746
100	3	84	6451	8073
100	3	85	6449	6639
100	3	86	6478	6804
100	3	87	6478	5781
100	3	88	6478	6627
100	3	89	6449	7019
100	3	90	6422	7045
100	3	91	6418	5947
100	3	92	6422	6819
100	3	93	6449	5657
100	3	94	6478	5589
100	3	95	6478	8354
100	3	96	6371	6283
100	3	97	6449	6847
100	3	98	6391	6408
100	3	99	6478	6291
100	3	100	6449	6588
100	3	101	6449	6626
100	3	102	6478	6945
100	3	103	6478	6074
100	3	104	6478	7254
100	3	105	6422	6612
100	3	106	6478	6954
100	3	107	6422	7707
100	3	108	6478	7653
100	3	109	6449	7355
100	3	110	6418	7566
100	3	111	6451	6267
100	3	112	6422	7052
100	3	113	6451	7154
100	3	114	6451	6270
100	3	115	6449	6856
100	3	116	6449	6547
100	3	117	6371	4980
100	3	118	6451	6722
100	3	119	6478	7880
100	3	120	6451	6719
100	3	121	6283	6971
100	3	122	6356	5796
100	3	123	6449	6745
100	3	124	6451	6836
100	3	125	6478	5970
100	3	126	6478	6762
100	3	127	6449	6890
100	3	128	6478	5956
100	3	129	6422	6538
100	3	130	6449	5607
100	3	131	6478	6490
100	3	132	6478	7271
100	3	133	6391	5444
100	3	134	6449	5709
100	3	135	6478	6223
100	3	136	6478	6478
100	3	137	6422	8884
100	3	138	6449	6963
100	3	139	6451	6324
100	3	140	6449	7540
100	3	141	6422	6731
100	3	142	6449	6366
100	3	143	6449	7869
100	3	144	6449	8986
100	3	145	6422	7264
100	3	146	6449	7447
100	3	147	6478	6442
100	4	0	5249	6141
100	4	1	5219	5831
100	4	2	5303	6484
100	4	3	5303	6012
100	4	4	5303	7348
100	4	5	5303	6931
100	4	6	5303	5779
100	4	7	5303	6069
100	4	8	5253	6326
100	4	9	5303	7767
100	4	10	5303	6579
100	4	11	5303	6359
100	4	12	5303	8926
100	4	13	5178	5660
100	4	14	5303	6860
100	4	15	5205	6955
100	4	16	5303	6385
100	4	17	5253	6489
100	4	18	5249	6734
100	4	19	5303	6033
100	4	20	5303	6900
100	4	21	5303	6904
100	4	22	5303	6586
100	4	23	5253	7291
100	4	24	5303	6210
100	4	25	5303	8092
100	4	26	5253	6944
100	4	27	5303	7026
100	4	28	5303	6336
100	4	29	5249	6331
100	4	30	5303	7340
100	4	31	5303	5840
100	4	32	5249	6415
100	4	33	5303	6175
100	4	34	5303	5732
100	4	35	5134	7278
100	4	36	5249	5811
100	4	37	5303	6852
100	4	38	5303	8057
100	4	39	5303	5849
100	4	40	5253	6352
100	4	41	5160	7023
100	4	42	5249	7349
100	4	43	5303	6372
100	4	44	5303	8412
100	4	45	5303	6907
100	4	46	5253	4848
100	4	47	5303	5765
100	4	48	5303	6553
100	4	49	5139	6213
100	4	50	5303	5947
100	4	51	5303	6460
100	4	52	5253	6167
100	4	53	5249	6281
100	4	54	5303	5660
100	4	55	5303	6030
100	4	56	5253	7228
100	4	57	5253	6110
100	4	58	5303	6569
100	4	59	5303	7003
100	4	60	5303	7209
100	4	61	5253	7274
