N	numinstance	numrun	budget	fitness	comment
250	1	3	100000	22674	numrun=seeds%10
250	1	4	10000	22678	numrun=seeds%10
250	1	4	100000	22678	numrun=seeds%10
250	1	5	10000	22152	numrun=seeds%10
250	1	5	100000	22559	numrun=seeds%10
250	1	6	10000	22357	numrun=seeds%10
250	1	6	100000	22674	numrun=seeds%10
250	1	7	10000	22420	numrun=seeds%10
250	1	7	100000	22602	numrun=seeds%10
250	1	8	10000	22367	numrun=seeds%10
250	1	8	100000	22678	numrun=seeds%10
250	1	9	10000	22255	numrun=seeds%10
250	1	9	100000	22674	numrun=seeds%10
250	1	0	1000000	22678	only one run (every seed)
