N	numinstance	numrun	budget	fitness	comment
100	9	2	100000	5670	numrun=seeds%10
100	9	3	10000	5463	numrun=seeds%10
100	9	3	100000	5670	numrun=seeds%10
100	9	4	10000	5607	numrun=seeds%10
100	9	4	100000	5670	numrun=seeds%10
100	9	5	10000	5499	numrun=seeds%10
100	9	5	100000	5670	numrun=seeds%10
100	9	6	10000	5670	numrun=seeds%10
100	9	6	100000	5670	numrun=seeds%10
100	9	7	10000	5670	numrun=seeds%10
100	9	7	100000	5670	numrun=seeds%10
100	9	8	10000	5559	numrun=seeds%10
100	9	8	100000	5670	numrun=seeds%10
100	9	9	10000	5670	numrun=seeds%10
100	9	9	100000	5670	numrun=seeds%10
100	9	0	1000000	5670	only one run (every seed)
250	0	0	10000	-inf	numrun=seeds%10
250	0	0	100000	22333	numrun=seeds%10
250	0	1	10000	-inf	numrun=seeds%10
250	0	1	100000	22657	numrun=seeds%10
250	0	2	10000	-inf	numrun=seeds%10
250	0	2	100000	22905	numrun=seeds%10
250	0	3	10000	-inf	numrun=seeds%10
250	0	3	100000	22827	numrun=seeds%10
250	0	4	10000	-inf	numrun=seeds%10
250	0	4	100000	22741	numrun=seeds%10
250	0	5	10000	-inf	numrun=seeds%10
250	0	5	100000	22551	numrun=seeds%10
250	0	6	10000	-inf	numrun=seeds%10
250	0	6	100000	22581	numrun=seeds%10
250	0	7	10000	-inf	numrun=seeds%10
250	0	7	100000	22905	numrun=seeds%10
250	0	8	10000	-inf	numrun=seeds%10
250	0	8	100000	22814	numrun=seeds%10
250	0	9	10000	-inf	numrun=seeds%10
250	0	9	100000	22608	numrun=seeds%10
250	0	0	1000000	22905	only one run (every seed)
250	1	0	10000	-inf	numrun=seeds%10
250	1	0	100000	22120	numrun=seeds%10
250	1	1	10000	-inf	numrun=seeds%10
250	1	1	100000	22347	numrun=seeds%10
250	1	2	10000	-inf	numrun=seeds%10
250	1	2	100000	22101	numrun=seeds%10
250	1	3	10000	-inf	numrun=seeds%10
250	1	3	100000	22520	numrun=seeds%10
250	1	4	10000	-inf	numrun=seeds%10
250	1	4	100000	22421	numrun=seeds%10
250	1	5	10000	-inf	numrun=seeds%10
250	1	5	100000	22119	numrun=seeds%10
250	1	6	10000	-inf	numrun=seeds%10
250	1	6	100000	22152	numrun=seeds%10
250	1	7	10000	-inf	numrun=seeds%10
250	1	7	100000	22420	numrun=seeds%10
250	1	8	10000	-inf	numrun=seeds%10
250	1	8	100000	22421	numrun=seeds%10
250	1	9	10000	-inf	numrun=seeds%10
250	1	9	100000	21874	numrun=seeds%10
250	1	0	1000000	22520	only one run (every seed)
