N	K	numinstance	numrun	budget	fitness	comment
50	1	3	9	100000	0.689234	numrun=seeds%10
50	1	3	0	1000000	0.689234	only one run (every seed)
50	1	4	0	10000	0.7150759999999999	numrun=seeds%10
50	1	4	1	10000	0.719228	numrun=seeds%10
50	1	4	2	10000	0.720014	numrun=seeds%10
50	1	4	3	10000	0.713048	numrun=seeds%10
50	1	4	4	10000	0.711146	numrun=seeds%10
50	1	4	5	10000	0.720014	numrun=seeds%10
50	1	4	6	10000	0.716536	numrun=seeds%10
50	1	4	7	10000	0.717324	numrun=seeds%10
50	1	4	8	10000	0.719228	numrun=seeds%10
50	1	4	9	10000	0.719228	numrun=seeds%10
50	1	4	0	100000	0.720014	numrun=seeds%10
50	1	4	1	100000	0.720014	numrun=seeds%10
50	1	4	2	100000	0.720014	numrun=seeds%10
50	1	4	3	100000	0.720014	numrun=seeds%10
50	1	4	4	100000	0.720014	numrun=seeds%10
50	1	4	5	100000	0.720014	numrun=seeds%10
50	1	4	6	100000	0.720014	numrun=seeds%10
50	1	4	7	100000	0.720014	numrun=seeds%10
50	1	4	8	100000	0.720014	numrun=seeds%10
50	1	4	9	100000	0.720014	numrun=seeds%10
50	1	4	0	1000000	0.720014	only one run (every seed)
50	1	5	0	10000	0.709684	numrun=seeds%10
50	1	5	1	10000	0.708784	numrun=seeds%10
50	1	5	2	10000	0.709684	numrun=seeds%10
50	1	5	3	10000	0.712012	numrun=seeds%10
50	1	5	4	10000	0.709684	numrun=seeds%10
50	1	5	5	10000	0.7129139999999999	numrun=seeds%10
50	1	5	6	10000	0.7129139999999999	numrun=seeds%10
50	1	5	7	10000	0.7129139999999999	numrun=seeds%10
50	1	5	8	10000	0.709684	numrun=seeds%10
50	1	5	9	10000	0.7129139999999999	numrun=seeds%10
50	1	5	0	100000	0.7129139999999999	numrun=seeds%10
50	1	5	1	100000	0.7129139999999999	numrun=seeds%10
50	1	5	2	100000	0.7129139999999999	numrun=seeds%10
50	1	5	3	100000	0.7129139999999999	numrun=seeds%10
50	1	5	4	100000	0.7129139999999999	numrun=seeds%10
50	1	5	5	100000	0.7129139999999999	numrun=seeds%10
50	1	5	6	100000	0.7129139999999999	numrun=seeds%10
50	1	5	7	100000	0.7129139999999999	numrun=seeds%10
50	1	5	8	100000	0.7129139999999999	numrun=seeds%10
50	1	5	9	100000	0.7129139999999999	numrun=seeds%10
50	1	5	0	1000000	0.7129139999999999	only one run (every seed)
50	1	6	0	10000	0.686422	numrun=seeds%10
50	1	6	1	10000	0.686422	numrun=seeds%10
50	1	6	2	10000	0.686422	numrun=seeds%10
50	1	6	3	10000	0.686422	numrun=seeds%10
50	1	6	4	10000	0.686422	numrun=seeds%10
50	1	6	5	10000	0.686422	numrun=seeds%10
50	1	6	6	10000	0.686422	numrun=seeds%10
50	1	6	7	10000	0.686422	numrun=seeds%10
50	1	6	8	10000	0.686422	numrun=seeds%10
50	1	6	9	10000	0.686208	numrun=seeds%10
50	1	6	0	100000	0.686422	numrun=seeds%10
50	1	6	1	100000	0.686422	numrun=seeds%10
50	1	6	2	100000	0.686422	numrun=seeds%10
50	1	6	3	100000	0.686422	numrun=seeds%10
50	1	6	4	100000	0.686422	numrun=seeds%10
50	1	6	5	100000	0.686422	numrun=seeds%10
50	1	6	6	100000	0.686422	numrun=seeds%10
50	1	6	7	100000	0.686422	numrun=seeds%10
50	1	6	8	100000	0.686422	numrun=seeds%10
50	1	6	9	100000	0.686422	numrun=seeds%10
50	1	6	0	1000000	0.686422	only one run (every seed)
50	1	7	0	10000	0.6824859999999999	numrun=seeds%10
50	1	7	1	10000	0.6824859999999999	numrun=seeds%10
50	1	7	2	10000	0.6824859999999999	numrun=seeds%10
50	1	7	3	10000	0.6824859999999999	numrun=seeds%10
50	1	7	4	10000	0.6814100000000001	numrun=seeds%10
50	1	7	5	10000	0.6824859999999999	numrun=seeds%10
50	1	7	6	10000	0.6824859999999999	numrun=seeds%10
50	1	7	7	10000	0.6824859999999999	numrun=seeds%10
50	1	7	8	10000	0.6814100000000001	numrun=seeds%10
50	1	7	9	10000	0.6824859999999999	numrun=seeds%10
50	1	7	0	100000	0.6824859999999999	numrun=seeds%10
50	1	7	1	100000	0.6824859999999999	numrun=seeds%10
50	1	7	2	100000	0.6824859999999999	numrun=seeds%10
50	1	7	3	100000	0.6824859999999999	numrun=seeds%10
50	1	7	4	100000	0.6824859999999999	numrun=seeds%10
50	1	7	5	100000	0.6824859999999999	numrun=seeds%10
50	1	7	6	100000	0.6824859999999999	numrun=seeds%10
50	1	7	7	100000	0.6824859999999999	numrun=seeds%10
50	1	7	8	100000	0.6824859999999999	numrun=seeds%10
50	1	7	9	100000	0.6824859999999999	numrun=seeds%10
50	1	7	0	1000000	0.6824859999999999	only one run (every seed)
50	1	8	0	10000	0.70028	numrun=seeds%10
50	1	8	1	10000	0.70028	numrun=seeds%10
50	1	8	2	10000	0.70028	numrun=seeds%10
50	1	8	3	10000	0.70028	numrun=seeds%10
50	1	8	4	10000	0.70028	numrun=seeds%10
50	1	8	5	10000	0.70028	numrun=seeds%10
50	1	8	6	10000	0.70028	numrun=seeds%10
50	1	8	7	10000	0.70028	numrun=seeds%10
50	1	8	8	10000	0.70028	numrun=seeds%10
50	1	8	9	10000	0.70028	numrun=seeds%10
50	1	8	0	100000	0.70028	numrun=seeds%10
50	1	8	1	100000	0.70028	numrun=seeds%10
50	1	8	2	100000	0.70028	numrun=seeds%10
50	1	8	3	100000	0.70028	numrun=seeds%10
50	1	8	4	100000	0.70028	numrun=seeds%10
50	1	8	5	100000	0.70028	numrun=seeds%10
50	1	8	6	100000	0.70028	numrun=seeds%10
50	1	8	7	100000	0.70028	numrun=seeds%10
50	1	8	8	100000	0.70028	numrun=seeds%10
50	1	8	9	100000	0.70028	numrun=seeds%10
50	1	8	0	1000000	0.70028	only one run (every seed)
50	1	9	0	10000	0.686072	numrun=seeds%10
50	1	9	1	10000	0.686072	numrun=seeds%10
50	1	9	2	10000	0.686072	numrun=seeds%10
50	1	9	3	10000	0.686072	numrun=seeds%10
50	1	9	4	10000	0.686072	numrun=seeds%10
50	1	9	5	10000	0.686072	numrun=seeds%10
50	1	9	6	10000	0.686072	numrun=seeds%10
50	1	9	7	10000	0.686072	numrun=seeds%10
50	1	9	8	10000	0.686072	numrun=seeds%10
50	1	9	9	10000	0.686072	numrun=seeds%10
50	1	9	0	100000	0.686072	numrun=seeds%10
50	1	9	1	100000	0.686072	numrun=seeds%10
50	1	9	2	100000	0.686072	numrun=seeds%10
50	1	9	3	100000	0.686072	numrun=seeds%10
50	1	9	4	100000	0.686072	numrun=seeds%10
50	1	9	5	100000	0.686072	numrun=seeds%10
50	1	9	6	100000	0.686072	numrun=seeds%10
50	1	9	7	100000	0.686072	numrun=seeds%10
50	1	9	8	100000	0.686072	numrun=seeds%10
50	1	9	9	100000	0.686072	numrun=seeds%10
50	1	9	0	1000000	0.686072	only one run (every seed)
50	2	0	0	10000	0.752404	numrun=seeds%10
50	2	0	1	10000	0.752404	numrun=seeds%10
50	2	0	2	10000	0.748862	numrun=seeds%10
50	2	0	3	10000	0.7496200000000001	numrun=seeds%10
