N	K	numinstance	numrun	budget	fitness	comment
50	0	1	7	10000	0.670428	seed=numrun*10^6
50	0	1	7	100000	0.670428	seed=numrun*10^6
50	0	2	7	10000	0.670428	seed=numrun*10^6
50	0	2	7	100000	0.670428	seed=numrun*10^6
50	0	3	7	10000	0.670428	seed=numrun*10^6
50	0	3	7	100000	0.670428	seed=numrun*10^6
50	0	4	7	10000	0.670428	seed=numrun*10^6
50	0	4	7	100000	0.670428	seed=numrun*10^6
50	0	5	7	10000	0.670428	seed=numrun*10^6
50	0	5	7	100000	0.670428	seed=numrun*10^6
50	0	6	7	10000	0.670428	seed=numrun*10^6
50	0	6	7	100000	0.670428	seed=numrun*10^6
50	0	7	7	10000	0.670428	seed=numrun*10^6
50	0	7	7	100000	0.670428	seed=numrun*10^6
50	0	8	7	10000	0.670428	seed=numrun*10^6
50	0	8	7	100000	0.670428	seed=numrun*10^6
50	0	9	7	10000	0.670428	seed=numrun*10^6
50	0	9	7	100000	0.670428	seed=numrun*10^6
50	0	0	8	10000	0.670428	seed=numrun*10^6
50	0	0	8	100000	0.670428	seed=numrun*10^6
50	0	1	8	10000	0.670428	seed=numrun*10^6
50	0	1	8	100000	0.670428	seed=numrun*10^6
50	0	2	8	10000	0.670428	seed=numrun*10^6
50	0	2	8	100000	0.670428	seed=numrun*10^6
50	0	3	8	10000	0.670428	seed=numrun*10^6
50	0	3	8	100000	0.670428	seed=numrun*10^6
50	0	4	8	10000	0.670428	seed=numrun*10^6
50	0	4	8	100000	0.670428	seed=numrun*10^6
50	0	5	8	10000	0.670428	seed=numrun*10^6
50	0	5	8	100000	0.670428	seed=numrun*10^6
50	0	6	8	10000	0.670428	seed=numrun*10^6
50	0	6	8	100000	0.670428	seed=numrun*10^6
50	0	7	8	10000	0.670428	seed=numrun*10^6
50	0	7	8	100000	0.670428	seed=numrun*10^6
50	0	8	8	10000	0.670428	seed=numrun*10^6
50	0	8	8	100000	0.670428	seed=numrun*10^6
50	0	9	8	10000	0.670428	seed=numrun*10^6
50	0	9	8	100000	0.670428	seed=numrun*10^6
50	0	0	9	10000	0.670428	seed=numrun*10^6
50	0	0	9	100000	0.670428	seed=numrun*10^6
50	0	1	9	10000	0.670428	seed=numrun*10^6
