type	N	numinstance	numrun	budget	fitness	comment
uf	50	5	7	10000	216	seed=numrun*10^6
uf	50	5	7	100000	218	seed=numrun*10^6
uf	50	6	7	10000	216	seed=numrun*10^6
uf	50	6	7	100000	218	seed=numrun*10^6
uf	50	7	7	10000	216	seed=numrun*10^6
uf	50	7	7	100000	218	seed=numrun*10^6
uf	50	8	7	10000	216	seed=numrun*10^6
uf	50	8	7	100000	218	seed=numrun*10^6
uf	50	9	7	10000	216	seed=numrun*10^6
uf	50	9	7	100000	218	seed=numrun*10^6
uf	50	0	8	10000	217	seed=numrun*10^6
uf	50	0	8	100000	217	seed=numrun*10^6
uf	50	1	8	10000	217	seed=numrun*10^6
uf	50	1	8	100000	217	seed=numrun*10^6
uf	50	2	8	10000	217	seed=numrun*10^6
uf	50	2	8	100000	217	seed=numrun*10^6
uf	50	3	8	10000	217	seed=numrun*10^6
uf	50	3	8	100000	217	seed=numrun*10^6
uf	50	4	8	10000	217	seed=numrun*10^6
uf	50	4	8	100000	217	seed=numrun*10^6
uf	50	5	8	10000	217	seed=numrun*10^6
uf	50	5	8	100000	217	seed=numrun*10^6
uf	50	6	8	10000	217	seed=numrun*10^6
uf	50	6	8	100000	217	seed=numrun*10^6
uf	50	7	8	10000	217	seed=numrun*10^6
uf	50	7	8	100000	217	seed=numrun*10^6
uf	50	8	8	10000	217	seed=numrun*10^6
uf	50	8	8	100000	217	seed=numrun*10^6
uf	50	9	8	10000	217	seed=numrun*10^6
uf	50	9	8	100000	217	seed=numrun*10^6
uf	50	0	9	10000	217	seed=numrun*10^6
uf	50	0	9	100000	218	seed=numrun*10^6
uf	50	1	9	10000	217	seed=numrun*10^6
uf	50	1	9	100000	218	seed=numrun*10^6
uf	50	2	9	10000	217	seed=numrun*10^6
uf	50	2	9	100000	218	seed=numrun*10^6
uf	50	3	9	10000	217	seed=numrun*10^6
uf	50	3	9	100000	218	seed=numrun*10^6
uf	50	4	9	10000	217	seed=numrun*10^6
uf	50	4	9	100000	218	seed=numrun*10^6
uf	50	5	9	10000	217	seed=numrun*10^6
uf	50	5	9	100000	218	seed=numrun*10^6
uf	50	6	9	10000	217	seed=numrun*10^6
uf	50	6	9	100000	218	seed=numrun*10^6
uf	50	7	9	10000	217	seed=numrun*10^6
uf	50	7	9	100000	218	seed=numrun*10^6
uf	50	8	9	10000	217	seed=numrun*10^6
uf	50	8	9	100000	218	seed=numrun*10^6
uf	50	9	9	10000	217	seed=numrun*10^6
uf	50	9	9	100000	218	seed=numrun*10^6
uuf	50	0	0	10000	217	seed=numrun*10^6
uuf	50	0	0	100000	217	seed=numrun*10^6
uuf	50	0	0	1000000	217	seed=numrun*10^6
uuf	50	1	0	10000	217	seed=numrun*10^6
uuf	50	1	0	100000	217	seed=numrun*10^6
uuf	50	1	0	1000000	217	seed=numrun*10^6
uuf	50	2	0	10000	217	seed=numrun*10^6
uuf	50	2	0	100000	217	seed=numrun*10^6
uuf	50	2	0	1000000	217	seed=numrun*10^6
uuf	50	3	0	10000	217	seed=numrun*10^6
uuf	50	3	0	100000	217	seed=numrun*10^6
uuf	50	3	0	1000000	217	seed=numrun*10^6
uuf	50	4	0	10000	217	seed=numrun*10^6
uuf	50	4	0	100000	217	seed=numrun*10^6
uuf	50	4	0	1000000	217	seed=numrun*10^6
uuf	50	5	0	10000	217	seed=numrun*10^6
uuf	50	5	0	100000	217	seed=numrun*10^6
uuf	50	5	0	1000000	217	seed=numrun*10^6
uuf	50	6	0	10000	217	seed=numrun*10^6
uuf	50	6	0	100000	217	seed=numrun*10^6
uuf	50	6	0	1000000	217	seed=numrun*10^6
uuf	50	7	0	10000	217	seed=numrun*10^6
uuf	50	7	0	100000	217	seed=numrun*10^6
uuf	50	7	0	1000000	217	seed=numrun*10^6
uuf	50	8	0	10000	217	seed=numrun*10^6
uuf	50	8	0	100000	217	seed=numrun*10^6
uuf	50	8	0	1000000	217	seed=numrun*10^6
uuf	50	9	0	10000	217	seed=numrun*10^6
uuf	50	9	0	100000	217	seed=numrun*10^6
uuf	50	9	0	1000000	217	seed=numrun*10^6
uuf	50	0	1	10000	216	seed=numrun*10^6
uuf	50	0	1	100000	217	seed=numrun*10^6
uuf	50	1	1	10000	216	seed=numrun*10^6
uuf	50	1	1	100000	217	seed=numrun*10^6
uuf	50	2	1	10000	216	seed=numrun*10^6
uuf	50	2	1	100000	217	seed=numrun*10^6
uuf	50	3	1	10000	216	seed=numrun*10^6
uuf	50	3	1	100000	217	seed=numrun*10^6
uuf	50	4	1	10000	216	seed=numrun*10^6
uuf	50	4	1	100000	217	seed=numrun*10^6
uuf	50	5	1	10000	216	seed=numrun*10^6
uuf	50	5	1	100000	217	seed=numrun*10^6
uuf	50	6	1	10000	216	seed=numrun*10^6
uuf	50	6	1	100000	217	seed=numrun*10^6
uuf	50	7	1	10000	216	seed=numrun*10^6
uuf	50	7	1	100000	217	seed=numrun*10^6
uuf	50	8	1	10000	216	seed=numrun*10^6
uuf	50	8	1	100000	217	seed=numrun*10^6
uuf	50	9	1	10000	216	seed=numrun*10^6
uuf	50	9	1	100000	217	seed=numrun*10^6
uuf	50	0	2	10000	217	seed=numrun*10^6
uuf	50	0	2	100000	217	seed=numrun*10^6
uuf	50	1	2	10000	217	seed=numrun*10^6
uuf	50	1	2	100000	217	seed=numrun*10^6
uuf	50	2	2	10000	217	seed=numrun*10^6
uuf	50	2	2	100000	217	seed=numrun*10^6
uuf	50	3	2	10000	217	seed=numrun*10^6
uuf	50	3	2	100000	217	seed=numrun*10^6
uuf	50	4	2	10000	217	seed=numrun*10^6
uuf	50	4	2	100000	217	seed=numrun*10^6
uuf	50	5	2	10000	217	seed=numrun*10^6
uuf	50	5	2	100000	217	seed=numrun*10^6
uuf	50	6	2	10000	217	seed=numrun*10^6
uuf	50	6	2	100000	217	seed=numrun*10^6
uuf	50	7	2	10000	217	seed=numrun*10^6
uuf	50	7	2	100000	217	seed=numrun*10^6
uuf	50	8	2	10000	217	seed=numrun*10^6
uuf	50	8	2	100000	217	seed=numrun*10^6
uuf	50	9	2	10000	217	seed=numrun*10^6
uuf	50	9	2	100000	217	seed=numrun*10^6
uuf	50	0	3	10000	217	seed=numrun*10^6
uuf	50	0	3	100000	217	seed=numrun*10^6
uuf	50	1	3	10000	217	seed=numrun*10^6
uuf	50	1	3	100000	217	seed=numrun*10^6
uuf	50	2	3	10000	217	seed=numrun*10^6
uuf	50	2	3	100000	217	seed=numrun*10^6
uuf	50	3	3	10000	217	seed=numrun*10^6
uuf	50	3	3	100000	217	seed=numrun*10^6
uuf	50	4	3	10000	217	seed=numrun*10^6
uuf	50	4	3	100000	217	seed=numrun*10^6
uuf	50	5	3	10000	217	seed=numrun*10^6
uuf	50	5	3	100000	217	seed=numrun*10^6
uuf	50	6	3	10000	217	seed=numrun*10^6
uuf	50	6	3	100000	217	seed=numrun*10^6
uuf	50	7	3	10000	217	seed=numrun*10^6
uuf	50	7	3	100000	217	seed=numrun*10^6
uuf	50	8	3	10000	217	seed=numrun*10^6
uuf	50	8	3	100000	217	seed=numrun*10^6
uuf	50	9	3	10000	217	seed=numrun*10^6
uuf	50	9	3	100000	217	seed=numrun*10^6
uuf	50	0	4	10000	217	seed=numrun*10^6
uuf	50	0	4	100000	217	seed=numrun*10^6
uuf	50	1	4	10000	217	seed=numrun*10^6
uuf	50	1	4	100000	217	seed=numrun*10^6
uuf	50	2	4	10000	217	seed=numrun*10^6
uuf	50	2	4	100000	217	seed=numrun*10^6
uuf	50	3	4	10000	217	seed=numrun*10^6
